ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence
Christ College ATM,30-06-2011,69,45,24,332100,227600,104500,Thursday,NH,W,WWW
Christ College ATM,01-07-2011,88,47,41,403200,182300,220900,Friday,NH,W,WWH
Christ College ATM,02-07-2011,87,37,50,421600,211400,210200,Saturday,NH,H,WHH
Christ College ATM,03-07-2011,85,24,61,325000,108500,216500,Sunday,NH,H,HHW
Christ College ATM,04-07-2011,96,43,53,442800,181000,261800,Monday,NH,W,HWW
Christ College ATM,05-07-2011,59,36,23,296100,202400,93700,Tuesday,NH,W,WWW
Christ College ATM,06-07-2011,146,69,77,723200,372800,350400,Wednesday,NH,W,WWW
Christ College ATM,07-07-2011,111,59,52,479300,235500,243800,Thursday,NH,W,WWW
Christ College ATM,08-07-2011,104,64,40,460500,289200,171300,Friday,NH,W,WWW
Christ College ATM,09-07-2011,63,41,22,312100,230300,81800,Saturday,NH,H,WHH
Christ College ATM,10-07-2011,53,30,23,224700,107600,117100,Sunday,NH,H,HHW
Christ College ATM,11-07-2011,85,46,39,310400,149500,160900,Monday,NH,W,HWW
Christ College ATM,12-07-2011,67,48,19,221200,181300,39900,Tuesday,NH,W,WWW
Christ College ATM,13-07-2011,60,45,15,219500,190200,29300,Wednesday,NH,W,WWW
Christ College ATM,14-07-2011,68,44,24,253000,167400,85600,Thursday,NH,W,WWW
Christ College ATM,15-07-2011,54,39,15,228700,162100,66600,Friday,NH,W,WWH
Christ College ATM,16-07-2011,64,38,26,305900,216100,89800,Saturday,NH,H,WHH
Christ College ATM,17-07-2011,78,49,29,305200,214800,90400,Sunday,NH,H,HHW
Christ College ATM,18-07-2011,59,31,28,222500,143000,79500,Monday,NH,W,HWW
Christ College ATM,19-07-2011,55,38,17,219300,158800,60500,Tuesday,NH,W,WWW
Christ College ATM,20-07-2011,58,36,22,225400,159700,65700,Wednesday,NH,W,WWW
Christ College ATM,21-07-2011,96,52,44,395600,211200,184400,Thursday,NH,W,WWW
Christ College ATM,22-07-2011,71,40,31,331400,226700,104700,Friday,NH,W,WWH
Christ College ATM,23-07-2011,92,56,36,333400,245700,87700,Saturday,NH,H,WHH
Christ College ATM,24-07-2011,73,16,57,213000,53900,159100,Sunday,NH,H,HHW
Christ College ATM,25-07-2011,61,31,30,238600,121400,117200,Monday,NH,W,HWW
Christ College ATM,26-07-2011,30,21,9,116500,89600,26900,Tuesday,NH,W,WWW
Christ College ATM,27-07-2011,62,42,20,173200,132100,41100,Wednesday,NH,W,WWW
Christ College ATM,28-07-2011,66,34,32,221500,138600,82900,Thursday,NH,W,WWW
Christ College ATM,29-07-2011,80,50,30,341200,213100,128100,Friday,NH,W,WWH
Christ College ATM,30-07-2011,109,51,58,424900,199800,225100,Saturday,NH,H,WHH
Christ College ATM,31-07-2011,58,27,31,228300,102500,125800,Sunday,NH,H,HHW
Christ College ATM,01-08-2011,74,39,35,316000,172300,143700,Monday,NH,W,HWW
Christ College ATM,02-08-2011,88,40,48,359200,139700,219500,Tuesday,NH,W,WWW
Christ College ATM,03-08-2011,53,23,30,184900,86500,98400,Wednesday,NH,W,WWW
Christ College ATM,04-08-2011,87,57,30,417700,291200,126500,Thursday,NH,W,WWW
Christ College ATM,05-08-2011,76,51,25,328300,238400,89900,Friday,NH,W,WWH
Christ College ATM,06-08-2011,130,71,59,564500,361500,203000,Saturday,NH,H,WHH
Christ College ATM,07-08-2011,71,45,26,310900,222800,88100,Sunday,NH,H,HHW
Christ College ATM,08-08-2011,73,40,33,258100,138100,120000,Monday,NH,W,HWW
Christ College ATM,09-08-2011,69,29,40,215300,98600,116700,Tuesday,NH,W,WWW
Christ College ATM,10-08-2011,92,62,30,430700,286200,144500,Wednesday,NH,W,WWW
Christ College ATM,11-08-2011,75,46,29,424600,286400,138200,Thursday,NH,W,WWW
Christ College ATM,12-08-2011,84,46,38,369900,230100,139800,Friday,NH,W,WWH
Christ College ATM,13-08-2011,66,32,34,273400,168900,104500,Saturday,NH,H,WHH
Christ College ATM,14-08-2011,55,31,24,217700,125500,92200,Sunday,NH,H,HHH
Christ College ATM,15-08-2011,28,16,12,95200,53100,42100,Monday,N,H,HHW
Christ College ATM,16-08-2011,79,54,25,294700,216900,77800,Tuesday,NH,W,HWW
Christ College ATM,17-08-2011,55,31,24,251600,142700,108900,Wednesday,NH,W,WWW
Christ College ATM,18-08-2011,60,40,20,255600,211300,44300,Thursday,NH,W,WWW
Christ College ATM,19-08-2011,59,33,26,215600,152600,63000,Friday,NH,W,WWH
Christ College ATM,20-08-2011,70,41,29,319300,219600,99700,Saturday,NH,H,WHH
Christ College ATM,21-08-2011,60,34,26,220700,142400,78300,Sunday,H,H,HHW
Christ College ATM,22-08-2011,75,47,28,389400,248900,140500,Monday,NH,W,HWW
Christ College ATM,23-08-2011,70,48,22,194600,167000,27600,Tuesday,NH,W,WWW
Christ College ATM,24-08-2011,61,39,22,204500,143000,61500,Wednesday,NH,W,WWW
Christ College ATM,25-08-2011,75,34,41,233300,133400,99900,Thursday,NH,W,WWW
Christ College ATM,26-08-2011,74,42,32,286400,201200,85200,Friday,NH,W,WWH
Christ College ATM,27-08-2011,103,39,64,341000,173600,167400,Saturday,NH,H,WHH
Christ College ATM,28-08-2011,79,31,48,259600,107300,152300,Sunday,NH,H,HHW
Christ College ATM,29-08-2011,127,49,78,444000,147900,296100,Monday,NH,W,HWW
Christ College ATM,30-08-2011,132,49,83,436400,202400,234000,Tuesday,NH,W,WHH
Christ College ATM,31-08-2011,125,38,87,561000,208600,352400,Wednesday,M,H,WHH
Christ College ATM,01-09-2011,40,23,17,170600,86500,84100,Thursday,H,H,HHW
Christ College ATM,02-09-2011,71,50,21,280100,173300,106800,Friday,NH,W,HWH
Christ College ATM,03-09-2011,96,53,43,467100,321200,145900,Saturday,NH,H,WHH
Christ College ATM,04-09-2011,65,34,31,328700,202900,125800,Sunday,NH,H,HHW
Christ College ATM,05-09-2011,106,71,35,542500,371900,170600,Monday,NH,W,HWW
Christ College ATM,06-09-2011,116,67,49,476200,244500,231700,Tuesday,NH,W,WWW
Christ College ATM,07-09-2011,72,45,27,359700,270900,88800,Wednesday,NH,W,WWW
Christ College ATM,08-09-2011,79,44,35,345200,211700,133500,Thursday,NH,W,WWW
Christ College ATM,09-09-2011,112,39,73,369400,156400,213000,Friday,NH,W,WWW
Christ College ATM,10-09-2011,87,49,38,393600,245700,147900,Saturday,NH,H,WHH
Christ College ATM,11-09-2011,49,25,24,141100,82800,58300,Sunday,NH,H,HHW
Christ College ATM,12-09-2011,50,31,19,154400,104200,50200,Monday,NH,W,HWW
Christ College ATM,13-09-2011,63,49,14,247800,198600,49200,Tuesday,NH,W,WWW
Christ College ATM,14-09-2011,65,46,19,296200,219100,77100,Wednesday,NH,W,WWW
Christ College ATM,15-09-2011,82,38,44,326900,171600,155300,Thursday,NH,W,WWW
Christ College ATM,16-09-2011,74,40,34,370100,233200,136900,Friday,NH,W,WWH
Christ College ATM,17-09-2011,75,42,33,257500,145600,111900,Saturday,NH,H,WHH
Christ College ATM,18-09-2011,51,32,19,196500,109800,86700,Sunday,NH,H,HHW
Christ College ATM,19-09-2011,53,36,17,214300,159500,54800,Monday,NH,W,HWW
Christ College ATM,20-09-2011,70,39,31,293200,181200,112000,Tuesday,NH,W,WWW
Christ College ATM,21-09-2011,84,44,40,282200,157400,124800,Wednesday,NH,W,WWW
